codigo,nombre,codigo_grupo
000144,METRO DE IMPRESION ECOSOLOVENTE EN VINIL MATE,15
000143,PINCH ROLLER,4
000142,CUCHILLA NC01,8
000141,MÁQUINA OJETERA MANUAL / INCLUYE DADO MOLDE #6,5
000140,CABEZAL DX4,4
000139,FILM DTF UV 30X100M B,13
000138,BOMBA DE TINTA,4
000137,CONECTORES TIPO Y,4
000136,PROMOCION DE OJETERA,3
000135,ROLL UP DE 80X200 CON ARTE IMPRESO,15
000134,CAMISA TERMINADA CON IMPRESION DTF,15
000133,PLIEGO DE VINIL ADHESIVO DE 40X60 CM,15
000132,PVC TAMAñO 0.65X50 CM,15
000131,VINIL DE 80X60 CM PEGADOS SOBRE PVC DE 5 MM,15
000130,VINIL DE 0.25 X 20 CM PEGADO SOBRE PVC DE 5 MM,15
000129,FUENTE DE 36 VOLTIOS,4
000128,VINYL ADHESIVO TRANSPARENTE 80 MICRAS 1.37 50 M YARDAS,10
000127,MÁQUINA OJETERA MANUAL / INCLUYE DADO MOLDE #5,3
000126,TAZAS BLANCAS AAA / CAJA 48 PCS,6
000125,VINIL DE CORTE CELESTE YARDA,10
000124,MANIFULL PARA DX5,4
000123,SINCHAS FLEX PARA CABEZAL DX5,4
000122,CABEZA Y CAPING PARA DX5,4
000121,SENSOR OPTICO,5
000120,VINIL METALIZADO AQUA YARDA,10
000119,RESISTENCIA PARA TAZAS 11OZ,6
000118,PLOTTER DE CORTE 150CM INCLUYE CAMARA SENSOR DE CORTE MAX FUERZA ARRASTRE 1000G,3
000117,PLOTTER DE CORTE 127 CM INCLUYE CAMARA SNESOR DE CORTE MAX FERZA ARRASTRE 1000G,3
000116,BANDEROLA PORTáTIL CON MOCHILA INCLUIDA,1
000115,SERVICIO DE PLANCHADO EN PRENDA,15
000114,BANNER 2X0.50 CON IMPRESION FULL COLOR,15
000113,BANER 1X1 CON IMPRESION FULL COLOR,15
000112,X BANNER 80X1.80 IMPRESOS FULL COLOR,15
000111,IMPRESION DTF METRO,15
000110,IMPRESION DTF MEDIO METRO,15
000109,IMPRESION DTF TAMAÑO TABLOIDE,15
000108,IMPRESION DTF TAMAÑO CARTA,15
000107,ONE WAY VISION 1.37 M MICROPERFORADO YARDAS,5
000106,MAIN BOARD,4
000105,BULL SISTEM,4
000104,CAPING,4
000103,VINYL ADHESIVO TRANSPARENTE 80 MICRAS 1.37 50 M,10
000102,IMPRESOR EPSON L1250,3
000101,RELAY DE ESTADO SOLIDO,4
000100,VINYL ADHESIVO GLOSSY 1.06*50MM 100 MIC IMAX ADHESIVE,5
000099,VINIL MAGNETICO YARDA,10
000098,DADO 6,8
000097,DADO 5,8
000096,ACRILICO TRANSPARENTE 10MM,12
000095,ACRILICO TRANSPARENTE 5MM,12
000094,ACRILICO TRANSPARENTE 3MM,12
000093,PLANCHA COMBO 8 EN 1,3
000092,PLANCHA COMBO 10 EN 1,3
000091,MOTOR Y CABLES,4
000090,CINCHA LARGA DE DATOS PARA PLOTTER DE 1.60,4
