Código del Producto,Grupo de Productos,Unidad de Medida (UdM) predeterminada,Nombre del Producto,Deshabilitado,Mantener Stock,Permitir Ventas,Permitir Compra,Precio de venta estándar,Imagen,Unidad de Medida (UdM),Unidad de Medida de Compra Predeterminada,Unidad de Medida de Ventas Predeterminada,Almacén por defecto (Valores por Defecto del Artículo),Compañía (Valores por Defecto del Artículo)
000144,DOCTOR PRINT,Unit,METRO DE IMPRESION ECOSOLOVENTE EN VINIL MATE,0,1,1,1,6.12,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000143,SERVICIO TÉCNICO,Unit,PINCH ROLLER,0,1,1,1,44.97,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000142,ACCESORIOS,Unit,CUCHILLA NC01,0,1,1,1,23.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000141,SUMINISTRO PARA ROTULACION,Unit,MÁQUINA OJETERA MANUAL / INCLUYE DADO MOLDE #6,0,1,1,1,95.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000140,SERVICIO TÉCNICO,Unit,CABEZAL DX4,0,1,1,1,342.50,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000139,SUMINISTROS DTF,Unit,FILM DTF UV 30X100M B,0,1,1,1,70.63,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000138,SERVICIO TÉCNICO,Unit,BOMBA DE TINTA,0,1,1,1,30.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000137,SERVICIO TÉCNICO,Unit,CONECTORES TIPO Y,0,1,1,1,5.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000136,EQUIPOS Y MAQUINARIAS,Unit,PROMOCION DE OJETERA,0,1,1,1,95.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000135,DOCTOR PRINT,Unit,ROLL UP DE 80X200 CON ARTE IMPRESO,0,1,1,1,27.86,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000134,DOCTOR PRINT,Unit,CAMISA TERMINADA CON IMPRESION DTF,0,1,1,1,6.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000133,DOCTOR PRINT,Unit,PLIEGO DE VINIL ADHESIVO DE 40X60 CM,0,1,1,1,2.80,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000132,DOCTOR PRINT,Unit,PVC TAMAñO 0.65X50 CM,0,1,1,1,6.59,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000131,DOCTOR PRINT,Unit,VINIL DE 80X60 CM PEGADOS SOBRE PVC DE 5 MM,0,1,1,1,15.73,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000130,DOCTOR PRINT,Unit,VINIL DE 0.25 X 20 CM PEGADO SOBRE PVC DE 5 MM,0,1,1,1,4.27,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000129,SERVICIO TÉCNICO,Unit,FUENTE DE 36 VOLTIOS,0,1,1,1,73.45,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000128,VINILES ESPECIALES,Unit,VINYL ADHESIVO TRANSPARENTE 80 MICRAS 1.37 50 M YARDAS,0,1,1,1,4.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000127,EQUIPOS Y MAQUINARIAS,Unit,MÁQUINA OJETERA MANUAL / INCLUYE DADO MOLDE #5,0,1,1,1,101.70,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000126,SUMINISTRO PARA SUBLIMACION,Unit,TAZAS BLANCAS AAA / CAJA 48 PCS,0,1,1,1,29.99,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000125,VINILES ESPECIALES,Yard,VINIL DE CORTE CELESTE YARDA,0,1,1,1,1.00,,Yard,Yard,Yard,CASA MATRIZ - Imgraf,Importadora Grafica
000124,SERVICIO TÉCNICO,Unit,MANIFULL PARA DX5,0,1,1,1,150.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000123,SERVICIO TÉCNICO,Unit,SINCHAS FLEX PARA CABEZAL DX5,0,1,1,1,15.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000122,SERVICIO TÉCNICO,Unit,CABEZA Y CAPING PARA DX5,0,1,1,1,1725.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000121,SUMINISTRO PARA ROTULACION,Unit,SENSOR OPTICO,0,1,1,1,154.87,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000120,VINILES ESPECIALES,Yard,VINIL METALIZADO AQUA YARDA,0,1,1,1,6.86,,Yard,Yard,Yard,CASA MATRIZ - Imgraf,Importadora Grafica
000119,SUMINISTRO PARA SUBLIMACION,Unit,RESISTENCIA PARA TAZAS 11OZ,0,1,1,1,58.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000118,EQUIPOS Y MAQUINARIAS,Unit,PLOTTER DE CORTE 150CM INCLUYE CAMARA SENSOR DE CORTE MAX FUERZA ARRASTRE 1000G,0,1,1,1,1309.99,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000117,EQUIPOS Y MAQUINARIAS,Unit,PLOTTER DE CORTE 127 CM INCLUYE CAMARA SNESOR DE CORTE MAX FERZA ARRASTRE 1000G,0,1,1,1,1065.60,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000116,DISPLAY POP Y EVENTOS,Unit,BANDEROLA PORTáTIL CON MOCHILA INCLUIDA,0,1,1,1,24.30,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000115,DOCTOR PRINT,Unit,SERVICIO DE PLANCHADO EN PRENDA,0,1,1,1,0.50,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000114,DOCTOR PRINT,Unit,BANNER 2X0.50 CON IMPRESION FULL COLOR,0,1,1,1,4.99,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000113,DOCTOR PRINT,Unit,BANER 1X1 CON IMPRESION FULL COLOR,0,1,1,1,4.99,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000112,DOCTOR PRINT,Unit,X BANNER 80X1.80 IMPRESOS FULL COLOR,0,1,1,1,7.74,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000111,DOCTOR PRINT,Unit,IMPRESION DTF METRO,0,1,1,1,5.40,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000110,DOCTOR PRINT,Unit,IMPRESION DTF MEDIO METRO,0,1,1,1,2.70,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000109,DOCTOR PRINT,Unit,IMPRESION DTF TAMAÑO TABLOIDE,0,1,1,1,2.30,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000108,DOCTOR PRINT,Unit,IMPRESION DTF TAMAÑO CARTA,0,1,1,1,1.50,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000107,SUMINISTRO PARA ROTULACION,Unit,ONE WAY VISION 1.37 M MICROPERFORADO YARDAS,0,1,1,1,3.54,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000106,SERVICIO TÉCNICO,Unit,MAIN BOARD,0,1,1,1,250.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000105,SERVICIO TÉCNICO,Unit,BULL SISTEM,0,1,1,1,309.73,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000104,SERVICIO TÉCNICO,Unit,CAPING,0,1,1,1,45.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000103,VINILES ESPECIALES,Unit,VINYL ADHESIVO TRANSPARENTE 80 MICRAS 1.37 50 M,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000102,EQUIPOS Y MAQUINARIAS,Unit,IMPRESOR EPSON L1250,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000101,SERVICIO TÉCNICO,Unit,RELAY DE ESTADO SOLIDO,0,1,1,1,65.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000100,SUMINISTRO PARA ROTULACION,Unit,VINYL ADHESIVO GLOSSY 1.06*50MM 100 MIC IMAX ADHESIVE,0,1,1,1,59.89,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000099,VINILES ESPECIALES,Yard,VINIL MAGNETICO YARDA,0,1,1,1,13.99,,Yard,Yard,Yard,CASA MATRIZ - Imgraf,Importadora Grafica
000098,ACCESORIOS,Unit,DADO 6,0,1,1,1,23.01,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000097,ACCESORIOS,Unit,DADO 5,0,1,1,1,23.01,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000096,LÁMINAS RIGIDAD,Unit,ACRILICO TRANSPARENTE 10MM,0,1,1,1,151.46,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000095,LÁMINAS RIGIDAD,Unit,ACRILICO TRANSPARENTE 5MM,0,1,1,1,85.36,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000094,LÁMINAS RIGIDAD,Unit,ACRILICO TRANSPARENTE 3MM,0,1,1,1,62.78,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000093,EQUIPOS Y MAQUINARIAS,Unit,PLANCHA COMBO 8 EN 1,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000092,EQUIPOS Y MAQUINARIAS,Unit,PLANCHA COMBO 10 EN 1,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000091,SERVICIO TÉCNICO,Unit,MOTOR Y CABLES,0,1,1,1,125.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000090,SERVICIO TÉCNICO,Unit,CINCHA LARGA DE DATOS PARA PLOTTER DE 1.60,0,1,1,1,90.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000089,SERVICIO TÉCNICO,Unit,CABEZAL XP600,0,1,1,1,323.01,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000088,SERVICIO TÉCNICO,Unit,METRO DE TUBERIA DE 6 LINEAS,0,1,1,1,18.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000087,SERVICIO TÉCNICO,Unit,BOMBA DE TINTA,0,1,1,1,45.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000086,SERVICIO TÉCNICO,Unit,CINCHA DE CABEZAL A LA HEAD BOARD,0,1,1,1,30.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000085,SERVICIO TÉCNICO,Unit,DAMPER,0,1,1,1,15.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000084,SERVICIO TÉCNICO,Unit,HEAD BOARD,0,1,1,1,385.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000083,VINILES ESPECIALES,Unit,VINYL DE CORTE FUXIA,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000082,VINILES ESPECIALES,Unit,VINYL DE CORTE CELESTE,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000081,VINILES ESPECIALES,Unit,VINYL DE CORTE BLANCO,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000080,VINILES ESPECIALES,Unit,VINYL DE CORTE AZUL,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
