Editar en masa Items
Barcode,Has Item Scanned,Item Code,Item Name,Item Group,Warehouse,Quantity,Stock UOM,Valuation Rate,Amount,Allow Zero Valuation Rate,Use Serial No / Batch Fields,Reconcile All Serial Nos / Batches,Serial / Batch Bundle,Current Serial / Batch Bundle,Serial No,Batch No,Current Qty,Current Amount,Current Valuation Rate,Current Serial No,Quantity Difference,Amount Difference
barcode,has_item_scanned,item_code,item_name,item_group,warehouse,qty,stock_uom,valuation_rate,amount,allow_zero_valuation_rate,use_serial_batch_fields,reconcile_all_serial_batch,serial_and_batch_bundle,current_serial_and_batch_bundle,serial_no,batch_no,current_qty,current_amount,current_valuation_rate,current_serial_no,quantity_difference,amount_difference
,,000001,CONTROL BOX,EQUIPOS Y MAQUINARIAS,CASA MATRIZ - Imgraf,2,Nos,,,1,,,,,,,,,,,,
,,000003,VINYL DE CORTE 60CM *45.7 M GRIS OSCURO YARDA,VINILES ESPECIALES,COJUTEPEQUE - Imgraf,33,Nos,1.33,,1,,,,,,,,,,,,
,,000004,VINIL TEXTIL NEON GREEN ROLLO,VINILES TEXTILES,CASA MATRIZ - Imgraf,5,Nos,,,1,,,,,,,,,,,,
,,000005,VINIL TEXTIL SILVER ROLLO,VINILES TEXTILES,CASA MATRIZ - Imgraf,5,Nos,,,1,,,,,,,,,,,,
,,000006,VINIL TEXTIL GOLDEN ROLLO,VINILES TEXTILES,CASA MATRIZ - Imgraf,4,Nos,,,1,,,,,,,,,,,,
,,000007,VINIL TEXTIL NEON YELLOW ROLLO,VINILES TEXTILES,CASA MATRIZ - Imgraf,7,Nos,,,1,,,,,,,,,,,,
,,000008,VINIL TEXTIL NEON ORANGE ROLLO,VINILES TEXTILES,CASA MATRIZ - Imgraf,7,Nos,,,1,,,,,,,,,,,,
,,000009,VINIL TEXTIL KELLY GREEN ROLLO,VINILES TEXTILES,CASA MATRIZ - Imgraf,4,Nos,,,1,,,,,,,,,,,,
,,000010,VINIL TEXTIL LEMON YELLOW ROLLO,VINILES TEXTILES,CASA MATRIZ - Imgraf,6,Nos,,,1,,,,,,,,,,,,
