items.item_code,items.warehouse,items.qty,items.valuation_rate
000144,CASA MATRIZ - Imgraf,,
000143,CASA MATRIZ - Imgraf,,
000142,CASA MATRIZ - Imgraf,,
000141,CASA MATRIZ - Imgraf,,
000140,CASA MATRIZ - Imgraf,,
000139,CASA MATRIZ - Imgraf,,
000138,CASA MATRIZ - Imgraf,,
000137,CASA MATRIZ - Imgraf,,
000136,CASA MATRIZ - Imgraf,,
000135,CASA MATRIZ - Imgraf,,
000134,CASA MATRIZ - Imgraf,,
000133,CASA MATRIZ - Imgraf,,
000132,CASA MATRIZ - Imgraf,,
000131,CASA MATRIZ - Imgraf,,
000130,CASA MATRIZ - Imgraf,,
000129,CASA MATRIZ - Imgraf,,
000128,CASA MATRIZ - Imgraf,,
000127,CASA MATRIZ - Imgraf,,
000126,CASA MATRIZ - Imgraf,,
000125,CASA MATRIZ - Imgraf,,
000124,CASA MATRIZ - Imgraf,,
000123,CASA MATRIZ - Imgraf,,
000122,CASA MATRIZ - Imgraf,,
000121,CASA MATRIZ - Imgraf,,
000120,CASA MATRIZ - Imgraf,,
000119,CASA MATRIZ - Imgraf,,
000118,CASA MATRIZ - Imgraf,,
000117,CASA MATRIZ - Imgraf,,
000116,CASA MATRIZ - Imgraf,,
000115,CASA MATRIZ - Imgraf,,
000114,CASA MATRIZ - Imgraf,,
000113,CASA MATRIZ - Imgraf,,
000112,CASA MATRIZ - Imgraf,,
000111,CASA MATRIZ - Imgraf,,
000110,CASA MATRIZ - Imgraf,,
000109,CASA MATRIZ - Imgraf,,
000108,CASA MATRIZ - Imgraf,,
000107,CASA MATRIZ - Imgraf,,
000106,CASA MATRIZ - Imgraf,,
000105,CASA MATRIZ - Imgraf,,
000104,CASA MATRIZ - Imgraf,,
000103,CASA MATRIZ - Imgraf,,
000102,CASA MATRIZ - Imgraf,,
000101,CASA MATRIZ - Imgraf,,
000100,CASA MATRIZ - Imgraf,,
000099,CASA MATRIZ - Imgraf,,
000098,CASA MATRIZ - Imgraf,,
000097,CASA MATRIZ - Imgraf,,
000096,CASA MATRIZ - Imgraf,,
000095,CASA MATRIZ - Imgraf,,
000094,CASA MATRIZ - Imgraf,,
000093,CASA MATRIZ - Imgraf,,
000092,CASA MATRIZ - Imgraf,,
000091,CASA MATRIZ - Imgraf,,
000090,CASA MATRIZ - Imgraf,,
000089,CASA MATRIZ - Imgraf,,
000088,CASA MATRIZ - Imgraf,,
000087,CASA MATRIZ - Imgraf,,
000086,CASA MATRIZ - Imgraf,,
000085,CASA MATRIZ - Imgraf,,
000084,CASA MATRIZ - Imgraf,,
000083,CASA MATRIZ - Imgraf,,
000082,CASA MATRIZ - Imgraf,,
000081,CASA MATRIZ - Imgraf,,
000080,CASA MATRIZ - Imgraf,,
000079,CASA MATRIZ - Imgraf,,
000078,CASA MATRIZ - Imgraf,,
000077,CASA MATRIZ - Imgraf,,
000076,CASA MATRIZ - Imgraf,,
000075,CASA MATRIZ - Imgraf,,
000074,CASA MATRIZ - Imgraf,,
000073,CASA MATRIZ - Imgraf,,
000072,CASA MATRIZ - Imgraf,,
000071,CASA MATRIZ - Imgraf,,
000070,CASA MATRIZ - Imgraf,,
000069,CASA MATRIZ - Imgraf,,
000068,CASA MATRIZ - Imgraf,,
000067,CASA MATRIZ - Imgraf,,
000066,CASA MATRIZ - Imgraf,,
000065,CASA MATRIZ - Imgraf,,
000064,CASA MATRIZ - Imgraf,,
000063,CASA MATRIZ - Imgraf,,
000062,CASA MATRIZ - Imgraf,,
000061,CASA MATRIZ - Imgraf,,
000060,CASA MATRIZ - Imgraf,,
000059,CASA MATRIZ - Imgraf,,
000058,CASA MATRIZ - Imgraf,,
000057,CASA MATRIZ - Imgraf,,
000056,CASA MATRIZ - Imgraf,,
000055,CASA MATRIZ - Imgraf,,
000054,CASA MATRIZ - Imgraf,,
000053,CASA MATRIZ - Imgraf,,
000052,CASA MATRIZ - Imgraf,,
000051,CASA MATRIZ - Imgraf,,
000050,CASA MATRIZ - Imgraf,,
000049,CASA MATRIZ - Imgraf,,
000048,CASA MATRIZ - Imgraf,,
000047,CASA MATRIZ - Imgraf,,
000046,CASA MATRIZ - Imgraf,,
000045,CASA MATRIZ - Imgraf,,
000044,CASA MATRIZ - Imgraf,,
000043,CASA MATRIZ - Imgraf,,
LB137300T,CASA MATRIZ - Imgraf,,
000039,CASA MATRIZ - Imgraf,,
000038,CASA MATRIZ - Imgraf,,
000037,CASA MATRIZ - Imgraf,,
000036,CASA MATRIZ - Imgraf,,
000035,CASA MATRIZ - Imgraf,,
000034,CASA MATRIZ - Imgraf,,
000033,CASA MATRIZ - Imgraf,,
000032,CASA MATRIZ - Imgraf,,
000031,CASA MATRIZ - Imgraf,,
JN16,CASA MATRIZ - Imgraf,,
000030,CASA MATRIZ - Imgraf,,
000029,CASA MATRIZ - Imgraf,,
000028,CASA MATRIZ - Imgraf,,
000027,CASA MATRIZ - Imgraf,,
000026,CASA MATRIZ - Imgraf,,
000025,CASA MATRIZ - Imgraf,,
000024,CASA MATRIZ - Imgraf,,
000023,CASA MATRIZ - Imgraf,,
000022,CASA MATRIZ - Imgraf,,
000021,CASA MATRIZ - Imgraf,,
000020,CASA MATRIZ - Imgraf,,
000019,CASA MATRIZ - Imgraf,,
000018,CASA MATRIZ - Imgraf,,
000017,CASA MATRIZ - Imgraf,,
000016,CASA MATRIZ - Imgraf,,
000015,CASA MATRIZ - Imgraf,,
000014,CASA MATRIZ - Imgraf,,
000013,CASA MATRIZ - Imgraf,,
000012,CASA MATRIZ - Imgraf,,
000011,CASA MATRIZ - Imgraf,,
000010,CASA MATRIZ - Imgraf,,
000009,CASA MATRIZ - Imgraf,,
000008,CASA MATRIZ - Imgraf,,
000007,CASA MATRIZ - Imgraf,,
000006,CASA MATRIZ - Imgraf,,
000005,CASA MATRIZ - Imgraf,,
000004,CASA MATRIZ - Imgraf,,
000003,CASA MATRIZ - Imgraf,,
000002,CASA MATRIZ - Imgraf,,
000001,CASA MATRIZ - Imgraf,,
VC60CA,CASA MATRIZ - Imgraf,,
TSR11,CASA MATRIZ - Imgraf,,
TBS7501,CASA MATRIZ - Imgraf,,
VC60P1,CASA MATRIZ - Imgraf,,
VC60C1,CASA MATRIZ - Imgraf,,
GSA1A,CASA MATRIZ - Imgraf,,
TDUB11,CASA MATRIZ - Imgraf,,
TDW12,CASA MATRIZ - Imgraf,,
JN145,CASA MATRIZ - Imgraf,,
TSR12,CASA MATRIZ - Imgraf,,
MB751,CASA MATRIZ - Imgraf,,
LB1025001,CASA MATRIZ - Imgraf,,
A32035,CASA MATRIZ - Imgraf,,
A32034,CASA MATRIZ - Imgraf,,
A32033,CASA MATRIZ - Imgraf,,
